zip,rent,sqm_rent,living_space,offer_year,const_year,flattype,interior_qual
14059,429.0,13.0,33.0,2019,1958,apartment,normal
10585,1670.0,18.35164835164835,91.0,2019,1919,roof_storey,luxury
12629,314.25,7.5,41.9,2019,1988,apartment,normal
12163,1439.0,12.092436974789916,119.0,2019,1900,ground_floor,normal
10243,953.46,18.0,52.97,2019,2016,ground_floor,sophisticated
13158,272.0,7.997647750661571,34.01,2019,1996,apartment,normal
12487,750.0,12.5,60.0,2019,1900,apartment,sophisticated
12163,1200.0,15.0,80.0,2019,1950,apartment,normal
10245,787.8,14.999999999999998,52.52,2018,1904,ground_floor,simple
12051,1455.02,9.249968213604577,157.3,2019,1914,apartment,normal
10407,1960.0,13.219127267822214,148.27,2019,2017,maisonette,sophisticated
13359,599.0,13.00477637863656,46.06,2018,1995,apartment,sophisticated
10179,579.1,26.56422018348624,21.8,2019,2018,apartment,sophisticated
12623,997.0,9.146788990825687,109.0,2018,1914,apartment,sophisticated
14052,2000.0,19.23076923076923,104.0,2019,1928,apartment,luxury
10963,1350.0,30.0,45.0,2019,2018,apartment,luxury
13086,813.63,12.500076816715316,65.09,2019,1955,apartment,normal
10115,2242.8,12.0,186.9,2018,2003,apartment,sophisticated
10551,1600.0,12.8,125.0,2018,1910,apartment,sophisticated
13593,639.0,6.945652173913044,92.0,2019,1973,apartment,normal
13055,1090.0,11.720430107526882,93.0,2019,1995,ground_floor,sophisticated
10435,1998.0,25.275142314990514,79.05,2019,2019,apartment,luxury
14199,2900.0,21.48148148148148,135.0,2019,2011,apartment,sophisticated
12159,754.0,10.18918918918919,74.0,2018,1983,raised_ground_floor,sophisticated
14059,1092.0,13.0,84.0,2018,1966,apartment,sophisticated
12555,699.0,11.954848640328374,58.47,2019,1939,apartment,normal
10178,832.0,16.0,52.0,2019,1878,apartment,sophisticated
10711,1850.0,18.137254901960784,102.0,2018,1907,roof_storey,luxury
13629,799.0,11.414285714285715,70.0,2019,1910,apartment,normal
12589,1250.0,12.01923076923077,104.0,2019,1933,ground_floor,normal
10717,912.0,11.637106035472756,78.37,2018,1912,apartment,sophisticated
10997,1166.0,12.501340195132412,93.27,2019,1918,apartment,sophisticated
12557,812.0,9.991386735572783,81.27,2018,1996,roof_storey,normal
12057,549.0,9.305084745762711,59.0,2019,1972,apartment,normal
10961,3950.0,16.73728813559322,236.0,2019,1867,roof_storey,luxury
10435,3500.0,24.62707571066704,142.12,2019,2019,maisonette,luxury
13469,545.0,6.987179487179487,78.0,2019,1967,apartment,simple
13158,500.0,9.354536950420954,53.45,2019,1996,apartment,sophisticated
12459,569.0,10.252252252252251,55.5,2019,1915,apartment,normal
13627,1184.54,15.186410256410255,78.0,2019,1930,apartment,sophisticated
14057,3990.0,21.0,190.0,2018,1900,roof_storey,luxury
14167,1280.8,9.999999999999998,128.08,2019,2010,loft,sophisticated
12351,635.85,9.639933292904791,65.96,2019,1977,ground_floor,normal
12051,1043.2,16.0,65.2,2019,2018,apartment,sophisticated
12203,1290.0,12.647058823529411,102.0,2019,1895,roof_storey,sophisticated
12157,835.0,10.008390267289943,83.43,2018,1960,roof_storey,sophisticated
13353,648.0,12.5,51.84,2019,1905,ground_floor,sophisticated
10625,899.0,10.576470588235294,85.0,2019,1971,apartment,normal
13507,1499.54,13.85000461808442,108.27,2019,1992,apartment,sophisticated
10115,2062.5,15.0,137.5,2018,1900,apartment,sophisticated
12051,1043.2,16.0,65.2,2019,2018,apartment,sophisticated
10629,650.0,16.25,40.0,2019,1964,apartment,sophisticated
13469,599.0,7.130952380952381,84.0,2019,1968,apartment,normal
10315,841.89,19.0,44.31,2019,2018,apartment,sophisticated
14193,1683.4,18.914606741573035,89.0,2019,2019,apartment,sophisticated
12277,1248.0,13.092740243390685,95.32,2018,2018,ground_floor,sophisticated
13347,752.0,16.0,47.0,2019,1958,apartment,sophisticated
13125,749.0,8.825262165665134,84.87,2018,1993,apartment,normal
14055,978.37,12.81427635887361,76.35,2019,1969,roof_storey,sophisticated
10963,1080.0,18.030050083472453,59.9,2018,2018,terraced_flat,luxury
10967,848.0,11.813875731401504,71.78,2018,1886,apartment,sophisticated
12051,1590.0,18.068181818181817,88.0,2019,2019,apartment,sophisticated
12203,1916.4,10.000000000000002,191.64,2019,1889,apartment,normal
12203,2390.0,14.9375,160.0,2019,1914,apartment,sophisticated
10437,1499.24,21.42995997712979,69.96,2019,1899,roof_storey,sophisticated
12045,1050.0,13.81578947368421,76.0,2019,1928,raised_ground_floor,normal
10777,1876.0,14.0,134.0,2019,1973,maisonette,normal
12159,760.0,12.063492063492063,63.0,2018,1910,apartment,normal
13465,1104.0,8.005220796171416,137.91,2019,1979,maisonette,normal
10557,1597.15,17.40004357773178,91.79,2019,2019,apartment,sophisticated
12047,1925.0,18.96551724137931,101.5,2019,2019,apartment,luxury
10115,1200.0,18.75,64.0,2018,2013,apartment,sophisticated
12249,1260.0,14.06563965170797,89.58,2018,2012,ground_floor,sophisticated
12489,636.0,9.492537313432836,67.0,2018,1908,apartment,sophisticated
13055,660.34,9.932912154031287,66.48,2019,1997,ground_floor,normal
12169,1144.8,16.0,71.55,2019,2019,terraced_flat,sophisticated
10247,1400.0,16.867469879518072,83.0,2019,2019,apartment,sophisticated
10965,4200.0,23.863636363636363,176.0,2019,2019,loft,luxury
